artist_name,track_name,track_id,album_id,artist_id,track_popularity,artist_popularity,artist_genre,duration_ms,release_date,release_date_precision
Elvis Costello & The Attractions,Neat Neat Neat - Live,7oXFYYpv2aJutzTEL7yfjM,1sEzTKLd1Nv2oGndJa1XMD,4qmHkMxr6pTWh5Zo74odpH,7,54,"['art rock', 'folk rock', 'mellow gold', 'new wave pop', 'power pop', 'pub rock', 'rock']",196413,1978-03-17,day
Justin Bieber,Anyone,31qCy5ZaophVA81wtlwLc4,51kijm0sjZz0yOa3kVBPUU,1uNFoZAHBGtllmzznpCI3s,77,90,"['canadian pop', 'pop']",190779,2021-01-01,day
Elvis Costello & The Attractions,(The Angels Wanna Wear My) Red Shoes - Live,2pU165IKnVcDqrUxQCb5Ts,1sEzTKLd1Nv2oGndJa1XMD,4qmHkMxr6pTWh5Zo74odpH,8,54,"['art rock', 'folk rock', 'mellow gold', 'new wave pop', 'power pop', 'pub rock', 'rock']",155573,1978-03-17,day
Grupo Marca Registrada,El Doctor,2g12ZAzSIybDe6QC3w9DYl,2Jj4mjzEDaXp9X3AHpo5Gu,1gW6pz5n1aK249L0GvfQCC,77,72,"['corrido', 'musica mexicana', 'norteno', 'nueva musica mexicana']",235328,2021-05-17,day
Billy Gillies,Nostalgia (ASOT 1047),0mVwgHYJYG96POtxd3bz63,6HVBy8FLAoYr6B2pd71n2o,0kmovylAP20DMJhS3BE2CO,17,35,['tech trance'],224240,2021-12-16,day
Drake,N 2 Deep,34D6FJysnQioVingDKufuf,3SpBlxme9WbeQdI9kx7KAV,3TVXtAsR1Inumwj472S9r4,71,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",273577,2021-09-03,day
Kanallia,Magnolia (ASOT 1047),17oZUSeDoYkFEcm14LG7El,6HVBy8FLAoYr6B2pd71n2o,2U9oSjcKWylpCn4Xl7QuBH,14,20,[],192290,2021-12-16,day
El Fantasma,Soy Buen Amigo,1Z0auW1yEy6Dq9hsRdeIV3,1e35jCMYgVC4dOt1YykB6v,0my6Pg4I28dVcZLSpAkqhv,76,74,"['banda', 'corrido', 'musica mexicana', 'nueva musica mexicana']",153967,2021-05-14,day
Fifty Vinc,Brass of War,4GyK9CbFqT1DT2ulXMfow1,7rG8qMZsPfA2NX6F5obD7q,4mxVZyXkZhVwTZdD1Be9Zd,24,37,['bboy'],170500,2021-11-21,day
Bazzi,I Like That,2RkZZh5XQ4y3sG8gCu96Tz,0Nu5uWgrnNGWWbWfzXPgPI,4GvEc3ANtPPjt1ZJllr5Zl,73,72,"['dance pop', 'electropop', 'pop']",158083,2021-07-22,day
