Date,Close_Price_vti,Close_Price_voo,Close_Price_vig,Close_Price_qyld
2/19/2019,137.862503,245.752991,104.589439,18.022413
2/20/2019,138.151718,246.320694,104.666496,17.998158
2/21/2019,137.679367,245.425888,104.39679,17.969851
2/22/2019,138.585449,246.897964,105.04216,18.046679
2/25/2019,138.787903,247.26358,105.032532,18.099243
2/26/2019,138.527649,247.080765,104.772453,18.083073
2/27/2019,138.575821,246.955719,104.868774,18.107334
2/28/2019,138.286667,246.378433,104.90731,18.123507
3/1/2019,139.212021,248.071793,105.244446,18.172028
3/4/2019,138.566193,247.119278,104.724297,18.172028
3/5/2019,138.305923,246.830658,104.435318,18.18012
3/6/2019,137.255219,245.25267,103.838104,18.155855
3/7/2019,136.185257,243.280289,102.923027,18.066896
3/8/2019,135.905716,242.789581,102.768906,18.042637
3/11/2019,137.901062,246.330292,104.117447,18.277164
3/12/2019,138.363754,247.205872,104.23304,18.269079
3/13/2019,139.25061,248.889603,104.897682,18.277164
3/14/2019,139.134933,248.803024,104.676125,18.269079
3/15/2019,139.780731,250.015381,104.994003,18.422735
3/18/2019,140.301285,250.910156,105.311867,18.43082
3/19/2019,140.272354,250.987106,105.20591,18.43082
3/20/2019,139.694016,250.092346,104.560539,18.487133
3/21/2019,141.332703,252.951508,105.832024,18.523855
3/22/2019,138.383026,248.142654,104.107819,18.385124
3/25/2019,138.288071,247.920151,104.098175,18.401443
3/26/2019,139.354111,249.710129,104.98436,18.409607
3/27/2019,138.714493,248.549072,104.830254,18.385124
3/28/2019,139.325043,249.516617,105.459312,18.442247
3/29/2019,140.245758,251.122772,106.107727,18.523855
4/1/2019,141.873917,254.015808,106.949699,18.613611
4/2/2019,141.864212,254.10289,106.465805,18.63809
4/3/2019,142.20343,254.57695,106.523865,18.662575
4/4/2019,142.50386,255.186539,106.727104,18.678894
4/5/2019,143.221024,256.415405,107.24971,18.703379
4/8/2019,143.347031,256.637878,107.394875,18.711533
4/9/2019,142.484512,255.273651,106.785179,18.703379
4/10/2019,143.143509,256.154114,107.104538,18.719698
4/11/2019,143.13382,256.105743,107.336815,18.719698
4/12/2019,144.093262,257.837708,108.17878,18.727859
